"STCOFIPS","STFIPS","COFIPS","GEO","ITEM","DATA"
"19079","19","079","Iowa\Hamilton","Land in farms \ Average size of farm (acres)",430
"19081","19","081","Iowa\Hancock","Land in farms \ Average size of farm (acres)",397
"19083","19","083","Iowa\Hardin","Land in farms \ Average size of farm (acres)",406
"19091","19","091","Iowa\Humboldt","Land in farms \ Average size of farm (acres)",409
"19099","19","099","Iowa\Jasper","Land in farms \ Average size of farm (acres)",340
"19109","19","109","Iowa\Kossuth","Land in farms \ Average size of farm (acres)",444
"19127","19","127","Iowa\Marshall","Land in farms \ Average size of farm (acres)",354
"19131","19","131","Iowa\Mitchell","Land in farms \ Average size of farm (acres)",328
"19147","19","147","Iowa\Palo Alto","Land in farms \ Average size of farm (acres)",410
"19151","19","151","Iowa\Pocahontas","Land in farms \ Average size of farm (acres)",448
"19153","19","153","Iowa\Polk","Land in farms \ Average size of farm (acres)",256
"19161","19","161","Iowa\Sac","Land in farms \ Average size of farm (acres)",391
"19169","19","169","Iowa\Story","Land in farms \ Average size of farm (acres)",317
"19187","19","187","Iowa\Webster","Land in farms \ Average size of farm (acres)",422
"19189","19","189","Iowa\Winnebago","Land in farms \ Average size of farm (acres)",367
"19195","19","195","Iowa\Worth","Land in farms \ Average size of farm (acres)",367
"19197","19","197","Iowa\Wright","Land in farms \ Average size of farm (acres)",464
"19015","19","015","Iowa\Boone","Land in farms \ Median size of farm (acres)",73
"19021","19","021","Iowa\Buena Vista","Land in farms \ Median size of farm (acres)",243
"19023","19","023","Iowa\Butler","Land in farms \ Median size of farm (acres)",104
"19025","19","025","Iowa\Calhoun","Land in farms \ Median size of farm (acres)",187
"19027","19","027","Iowa\Carroll","Land in farms \ Median size of farm (acres)",160
"19033","19","033","Iowa\Cerro Gordo","Land in farms \ Median size of farm (acres)",138
"19041","19","041","Iowa\Clay","Land in farms \ Median size of farm (acres)",223
"19049","19","049","Iowa\Dallas","Land in farms \ Median size of farm (acres)",68
"19059","19","059","Iowa\Dickinson","Land in farms \ Median size of farm (acres)",180
"19063","19","063","Iowa\Emmet","Land in farms \ Median size of farm (acres)",245
"19067","19","067","Iowa\Floyd","Land in farms \ Median size of farm (acres)",100
"19069","19","069","Iowa\Franklin","Land in farms \ Median size of farm (acres)",157
"19073","19","073","Iowa\Greene","Land in farms \ Median size of farm (acres)",200
"19075","19","075","Iowa\Grundy","Land in farms \ Median size of farm (acres)",200
"19077","19","077","Iowa\Guthrie","Land in farms \ Median size of farm (acres)",130
"19079","19","079","Iowa\Hamilton","Land in farms \ Median size of farm (acres)",138
"19081","19","081","Iowa\Hancock","Land in farms \ Median size of farm (acres)",160
"19083","19","083","Iowa\Hardin","Land in farms \ Median size of farm (acres)",150
"19091","19","091","Iowa\Humboldt","Land in farms \ Median size of farm (acres)",186
"19099","19","099","Iowa\Jasper","Land in farms \ Median size of farm (acres)",115
"19109","19","109","Iowa\Kossuth","Land in farms \ Median size of farm (acres)",260
"19127","19","127","Iowa\Marshall","Land in farms \ Median size of farm (acres)",112
"19131","19","131","Iowa\Mitchell","Land in farms \ Median size of farm (acres)",157
"19147","19","147","Iowa\Palo Alto","Land in farms \ Median size of farm (acres)",160
"19151","19","151","Iowa\Pocahontas","Land in farms \ Median size of farm (acres)",277
"19153","19","153","Iowa\Polk","Land in farms \ Median size of farm (acres)",45
"19161","19","161","Iowa\Sac","Land in farms \ Median size of farm (acres)",160
"19169","19","169","Iowa\Story","Land in farms \ Median size of farm (acres)",80
"19187","19","187","Iowa\Webster","Land in farms \ Median size of farm (acres)",164
"19189","19","189","Iowa\Winnebago","Land in farms \ Median size of farm (acres)",133
"19195","19","195","Iowa\Worth","Land in farms \ Median size of farm (acres)",139
"19197","19","197","Iowa\Wright","Land in farms \ Median size of farm (acres)",160
"19015","19","015","Iowa\Boone","Estimated market value of land and buildings \ Average per farm (dollars)",2520885
"19021","19","021","Iowa\Buena Vista","Estimated market value of land and buildings \ Average per farm (dollars)",3070632
"19023","19","023","Iowa\Butler","Estimated market value of land and buildings \ Average per farm (dollars)",2260181
"19025","19","025","Iowa\Calhoun","Estimated market value of land and buildings \ Average per farm (dollars)",3332812
"19027","19","027","Iowa\Carroll","Estimated market value of land and buildings \ Average per farm (dollars)",2535277
"19033","19","033","Iowa\Cerro Gordo","Estimated market value of land and buildings \ Average per farm (dollars)",2778794
"19041","19","041","Iowa\Clay","Estimated market value of land and buildings \ Average per farm (dollars)",3269767
"19049","19","049","Iowa\Dallas","Estimated market value of land and buildings \ Average per farm (dollars)",2059497
"19059","19","059","Iowa\Dickinson","Estimated market value of land and buildings \ Average per farm (dollars)",2999797
"19063","19","063","Iowa\Emmet","Estimated market value of land and buildings \ Average per farm (dollars)",3356077
"19067","19","067","Iowa\Floyd","Estimated market value of land and buildings \ Average per farm (dollars)",2154441
"19069","19","069","Iowa\Franklin","Estimated market value of land and buildings \ Average per farm (dollars)",2769033
"19073","19","073","Iowa\Greene","Estimated market value of land and buildings \ Average per farm (dollars)",3185443
"19075","19","075","Iowa\Grundy","Estimated market value of land and buildings \ Average per farm (dollars)",3465753
"19077","19","077","Iowa\Guthrie","Estimated market value of land and buildings \ Average per farm (dollars)",2291450
"19079","19","079","Iowa\Hamilton","Estimated market value of land and buildings \ Average per farm (dollars)",3489958
"19081","19","081","Iowa\Hancock","Estimated market value of land and buildings \ Average per farm (dollars)",2765206
"19083","19","083","Iowa\Hardin","Estimated market value of land and buildings \ Average per farm (dollars)",2996061
"19091","19","091","Iowa\Humboldt","Estimated market value of land and buildings \ Average per farm (dollars)",3120219
"19099","19","099","Iowa\Jasper","Estimated market value of land and buildings \ Average per farm (dollars)",2115648
"19109","19","109","Iowa\Kossuth","Estimated market value of land and buildings \ Average per farm (dollars)",3380844
"19127","19","127","Iowa\Marshall","Estimated market value of land and buildings \ Average per farm (dollars)",2345804
"19131","19","131","Iowa\Mitchell","Estimated market value of land and buildings \ Average per farm (dollars)",2418524
"19147","19","147","Iowa\Palo Alto","Estimated market value of land and buildings \ Average per farm (dollars)",3088190
"19151","19","151","Iowa\Pocahontas","Estimated market value of land and buildings \ Average per farm (dollars)",3416818
"19153","19","153","Iowa\Polk","Estimated market value of land and buildings \ Average per farm (dollars)",1802039
"19161","19","161","Iowa\Sac","Estimated market value of land and buildings \ Average per farm (dollars)",2898568
"19169","19","169","Iowa\Story","Estimated market value of land and buildings \ Average per farm (dollars)",2482984
"19187","19","187","Iowa\Webster","Estimated market value of land and buildings \ Average per farm (dollars)",3106004
"19189","19","189","Iowa\Winnebago","Estimated market value of land and buildings \ Average per farm (dollars)",2474578
"19195","19","195","Iowa\Worth","Estimated market value of land and buildings \ Average per farm (dollars)",2255917
"19197","19","197","Iowa\Wright","Estimated market value of land and buildings \ Average per farm (dollars)",3345938
"19015","19","015","Iowa\Boone","Estimated market value of land and buildings \ Average per acre (dollars)",7546
"19021","19","021","Iowa\Buena Vista","Estimated market value of land and buildings \ Average per acre (dollars)",7301
"19023","19","023","Iowa\Butler","Estimated market value of land and buildings \ Average per acre (dollars)",6829
"19025","19","025","Iowa\Calhoun","Estimated market value of land and buildings \ Average per acre (dollars)",7685
"19027","19","027","Iowa\Carroll","Estimated market value of land and buildings \ Average per acre (dollars)",7524
"19033","19","033","Iowa\Cerro Gordo","Estimated market value of land and buildings \ Average per acre (dollars)",6631
"19041","19","041","Iowa\Clay","Estimated market value of land and buildings \ Average per acre (dollars)",7385
"19049","19","049","Iowa\Dallas","Estimated market value of land and buildings \ Average per acre (dollars)",6728
"19059","19","059","Iowa\Dickinson","Estimated market value of land and buildings \ Average per acre (dollars)",7061
"19063","19","063","Iowa\Emmet","Estimated market value of land and buildings \ Average per acre (dollars)",7280
"19067","19","067","Iowa\Floyd","Estimated market value of land and buildings \ Average per acre (dollars)",6401
"19069","19","069","Iowa\Franklin","Estimated market value of land and buildings \ Average per acre (dollars)",6646
"19073","19","073","Iowa\Greene","Estimated market value of land and buildings \ Average per acre (dollars)",6962
"19075","19","075","Iowa\Grundy","Estimated market value of land and buildings \ Average per acre (dollars)",8031
"19077","19","077","Iowa\Guthrie","Estimated market value of land and buildings \ Average per acre (dollars)",5798
"19079","19","079","Iowa\Hamilton","Estimated market value of land and buildings \ Average per acre (dollars)",8121
"19081","19","081","Iowa\Hancock","Estimated market value of land and buildings \ Average per acre (dollars)",6957
"19083","19","083","Iowa\Hardin","Estimated market value of land and buildings \ Average per acre (dollars)",7385
"19091","19","091","Iowa\Humboldt","Estimated market value of land and buildings \ Average per acre (dollars)",7627
"19099","19","099","Iowa\Jasper","Estimated market value of land and buildings \ Average per acre (dollars)",6217
"19109","19","109","Iowa\Kossuth","Estimated market value of land and buildings \ Average per acre (dollars)",7608
"19127","19","127","Iowa\Marshall","Estimated market value of land and buildings \ Average per acre (dollars)",6623
"19131","19","131","Iowa\Mitchell","Estimated market value of land and buildings \ Average per acre (dollars)",7372
"19147","19","147","Iowa\Palo Alto","Estimated market value of land and buildings \ Average per acre (dollars)",7523
"19151","19","151","Iowa\Pocahontas","Estimated market value of land and buildings \ Average per acre (dollars)",7635
"19153","19","153","Iowa\Polk","Estimated market value of land and buildings \ Average per acre (dollars)",7052
"19161","19","161","Iowa\Sac","Estimated market value of land and buildings \ Average per acre (dollars)",7420
"19169","19","169","Iowa\Story","Estimated market value of land and buildings \ Average per acre (dollars)",7838
"19187","19","187","Iowa\Webster","Estimated market value of land and buildings \ Average per acre (dollars)",7352
"19189","19","189","Iowa\Winnebago","Estimated market value of land and buildings \ Average per acre (dollars)",6748
"19195","19","195","Iowa\Worth","Estimated market value of land and buildings \ Average per acre (dollars)",6145
"19197","19","197","Iowa\Wright","Estimated market value of land and buildings \ Average per acre (dollars)",7209
"19015","19","015","Iowa\Boone","Estimated market value of all machinery and equipment ($1,000)",169727
"19021","19","021","Iowa\Buena Vista","Estimated market value of all machinery and equipment ($1,000)",248959
"19023","19","023","Iowa\Butler","Estimated market value of all machinery and equipment ($1,000)",226796
"19025","19","025","Iowa\Calhoun","Estimated market value of all machinery and equipment ($1,000)",228113
"19027","19","027","Iowa\Carroll","Estimated market value of all machinery and equipment ($1,000)",259647
"19033","19","033","Iowa\Cerro Gordo","Estimated market value of all machinery and equipment ($1,000)",220336
"19041","19","041","Iowa\Clay","Estimated market value of all machinery and equipment ($1,000)",210301
"19049","19","049","Iowa\Dallas","Estimated market value of all machinery and equipment ($1,000)",168658
"19059","19","059","Iowa\Dickinson","Estimated market value of all machinery and equipment ($1,000)",122895
"19063","19","063","Iowa\Emmet","Estimated market value of all machinery and equipment ($1,000)",153101
"19067","19","067","Iowa\Floyd","Estimated market value of all machinery and equipment ($1,000)",213097
"19069","19","069","Iowa\Franklin","Estimated market value of all machinery and equipment ($1,000)",221618
"19073","19","073","Iowa\Greene","Estimated market value of all machinery and equipment ($1,000)",225493
"19075","19","075","Iowa\Grundy","Estimated market value of all machinery and equipment ($1,000)",243385
"19077","19","077","Iowa\Guthrie","Estimated market value of all machinery and equipment ($1,000)",160573
"19079","19","079","Iowa\Hamilton","Estimated market value of all machinery and equipment ($1,000)",204432
"19081","19","081","Iowa\Hancock","Estimated market value of all machinery and equipment ($1,000)",238959
"19083","19","083","Iowa\Hardin","Estimated market value of all machinery and equipment ($1,000)",223489
"19091","19","091","Iowa\Humboldt","Estimated market value of all machinery and equipment ($1,000)",148642
"19099","19","099","Iowa\Jasper","Estimated market value of all machinery and equipment ($1,000)",230346
"19109","19","109","Iowa\Kossuth","Estimated market value of all machinery and equipment ($1,000)",398984
"19127","19","127","Iowa\Marshall","Estimated market value of all machinery and equipment ($1,000)",200684
"19131","19","131","Iowa\Mitchell","Estimated market value of all machinery and equipment ($1,000)",193519
"19147","19","147","Iowa\Palo Alto","Estimated market value of all machinery and equipment ($1,000)",252093
"19151","19","151","Iowa\Pocahontas","Estimated market value of all machinery and equipment ($1,000)",229984
"19153","19","153","Iowa\Polk","Estimated market value of all machinery and equipment ($1,000)",130924
"19161","19","161","Iowa\Sac","Estimated market value of all machinery and equipment ($1,000)",233802
"19169","19","169","Iowa\Story","Estimated market value of all machinery and equipment ($1,000)",198932
"19187","19","187","Iowa\Webster","Estimated market value of all machinery and equipment ($1,000)",243954
"19189","19","189","Iowa\Winnebago","Estimated market value of all machinery and equipment ($1,000)",171313
"19195","19","195","Iowa\Worth","Estimated market value of all machinery and equipment ($1,000)",153956
"19197","19","197","Iowa\Wright","Estimated market value of all machinery and equipment ($1,000)",245357
"19015","19","015","Iowa\Boone","Estimated market value of all machinery and equipment \ Average per farm (dollars)",180945
"19021","19","021","Iowa\Buena Vista","Estimated market value of all machinery and equipment \ Average per farm (dollars)",290162
"19023","19","023","Iowa\Butler","Estimated market value of all machinery and equipment \ Average per farm (dollars)",206931
"19025","19","025","Iowa\Calhoun","Estimated market value of all machinery and equipment \ Average per farm (dollars)",276166
"19027","19","027","Iowa\Carroll","Estimated market value of all machinery and equipment \ Average per farm (dollars)",243800
"19033","19","033","Iowa\Cerro Gordo","Estimated market value of all machinery and equipment \ Average per farm (dollars)",282482
"19041","19","041","Iowa\Clay","Estimated market value of all machinery and equipment \ Average per farm (dollars)",292084
"19049","19","049","Iowa\Dallas","Estimated market value of all machinery and equipment \ Average per farm (dollars)",168490
"19059","19","059","Iowa\Dickinson","Estimated market value of all machinery and equipment \ Average per farm (dollars)",278675
"19063","19","063","Iowa\Emmet","Estimated market value of all machinery and equipment \ Average per farm (dollars)",322319
"19067","19","067","Iowa\Floyd","Estimated market value of all machinery and equipment \ Average per farm (dollars)",225738
"19069","19","069","Iowa\Franklin","Estimated market value of all machinery and equipment \ Average per farm (dollars)",259810
"19073","19","073","Iowa\Greene","Estimated market value of all machinery and equipment \ Average per farm (dollars)",289093
"19075","19","075","Iowa\Grundy","Estimated market value of all machinery and equipment \ Average per farm (dollars)",330237
"19077","19","077","Iowa\Guthrie","Estimated market value of all machinery and equipment \ Average per farm (dollars)",193695
"19079","19","079","Iowa\Hamilton","Estimated market value of all machinery and equipment \ Average per farm (dollars)",268637
"19081","19","081","Iowa\Hancock","Estimated market value of all machinery and equipment \ Average per farm (dollars)",268796
"19083","19","083","Iowa\Hardin","Estimated market value of all machinery and equipment \ Average per farm (dollars)",272880
"19091","19","091","Iowa\Humboldt","Estimated market value of all machinery and equipment \ Average per farm (dollars)",258958
"19099","19","099","Iowa\Jasper","Estimated market value of all machinery and equipment \ Average per farm (dollars)",209787
"19109","19","109","Iowa\Kossuth","Estimated market value of all machinery and equipment \ Average per farm (dollars)",295763
"19127","19","127","Iowa\Marshall","Estimated market value of all machinery and equipment \ Average per farm (dollars)",227533
"19131","19","131","Iowa\Mitchell","Estimated market value of all machinery and equipment \ Average per farm (dollars)",214307
"19147","19","147","Iowa\Palo Alto","Estimated market value of all machinery and equipment \ Average per farm (dollars)",289097
"19151","19","151","Iowa\Pocahontas","Estimated market value of all machinery and equipment \ Average per farm (dollars)",309952
"19153","19","153","Iowa\Polk","Estimated market value of all machinery and equipment \ Average per farm (dollars)",169371
"19161","19","161","Iowa\Sac","Estimated market value of all machinery and equipment \ Average per farm (dollars)",255801
"19169","19","169","Iowa\Story","Estimated market value of all machinery and equipment \ Average per farm (dollars)",205934
"19187","19","187","Iowa\Webster","Estimated market value of all machinery and equipment \ Average per farm (dollars)",252018
"19189","19","189","Iowa\Winnebago","Estimated market value of all machinery and equipment \ Average per farm (dollars)",266842
"19195","19","195","Iowa\Worth","Estimated market value of all machinery and equipment \ Average per farm (dollars)",240556
"19197","19","197","Iowa\Wright","Estimated market value of all machinery and equipment \ Average per farm (dollars)",316589
"19015","19","015","Iowa\Boone","Farms by size \ 1 to 9 acres",120
"19021","19","021","Iowa\Buena Vista","Farms by size \ 1 to 9 acres",77
"19023","19","023","Iowa\Butler","Farms by size \ 1 to 9 acres",98
"19025","19","025","Iowa\Calhoun","Farms by size \ 1 to 9 acres",57
"19027","19","027","Iowa\Carroll","Farms by size \ 1 to 9 acres",101
"19033","19","033","Iowa\Cerro Gordo","Farms by size \ 1 to 9 acres",54
"19041","19","041","Iowa\Clay","Farms by size \ 1 to 9 acres",51
"19049","19","049","Iowa\Dallas","Farms by size \ 1 to 9 acres",103
"19059","19","059","Iowa\Dickinson","Farms by size \ 1 to 9 acres",28
"19063","19","063","Iowa\Emmet","Farms by size \ 1 to 9 acres",27
"19067","19","067","Iowa\Floyd","Farms by size \ 1 to 9 acres",51
"19069","19","069","Iowa\Franklin","Farms by size \ 1 to 9 acres",65
"19073","19","073","Iowa\Greene","Farms by size \ 1 to 9 acres",56
"19075","19","075","Iowa\Grundy","Farms by size \ 1 to 9 acres",92
"19077","19","077","Iowa\Guthrie","Farms by size \ 1 to 9 acres",33
"19079","19","079","Iowa\Hamilton","Farms by size \ 1 to 9 acres",74
"19081","19","081","Iowa\Hancock","Farms by size \ 1 to 9 acres",65
"19083","19","083","Iowa\Hardin","Farms by size \ 1 to 9 acres",76
"19091","19","091","Iowa\Humboldt","Farms by size \ 1 to 9 acres",56
"19099","19","099","Iowa\Jasper","Farms by size \ 1 to 9 acres",93
"19109","19","109","Iowa\Kossuth","Farms by size \ 1 to 9 acres",101
"19127","19","127","Iowa\Marshall","Farms by size \ 1 to 9 acres",61
"19131","19","131","Iowa\Mitchell","Farms by size \ 1 to 9 acres",76
"19147","19","147","Iowa\Palo Alto","Farms by size \ 1 to 9 acres",69
"19151","19","151","Iowa\Pocahontas","Farms by size \ 1 to 9 acres",61
"19153","19","153","Iowa\Polk","Farms by size \ 1 to 9 acres",121
"19161","19","161","Iowa\Sac","Farms by size \ 1 to 9 acres",99
"19169","19","169","Iowa\Story","Farms by size \ 1 to 9 acres",129
"19187","19","187","Iowa\Webster","Farms by size \ 1 to 9 acres",81
"19189","19","189","Iowa\Winnebago","Farms by size \ 1 to 9 acres",42
"19195","19","195","Iowa\Worth","Farms by size \ 1 to 9 acres",62
"19197","19","197","Iowa\Wright","Farms by size \ 1 to 9 acres",71
"19015","19","015","Iowa\Boone","Farms by size \ 10 to 49 acres",280
"19021","19","021","Iowa\Buena Vista","Farms by size \ 10 to 49 acres",162
"19023","19","023","Iowa\Butler","Farms by size \ 10 to 49 acres",310
"19025","19","025","Iowa\Calhoun","Farms by size \ 10 to 49 acres",187
"19027","19","027","Iowa\Carroll","Farms by size \ 10 to 49 acres",209
"19033","19","033","Iowa\Cerro Gordo","Farms by size \ 10 to 49 acres",220
"19041","19","041","Iowa\Clay","Farms by size \ 10 to 49 acres",137
"19049","19","049","Iowa\Dallas","Farms by size \ 10 to 49 acres",333
"19059","19","059","Iowa\Dickinson","Farms by size \ 10 to 49 acres",102
"19063","19","063","Iowa\Emmet","Farms by size \ 10 to 49 acres",96
"19067","19","067","Iowa\Floyd","Farms by size \ 10 to 49 acres",280
"19069","19","069","Iowa\Franklin","Farms by size \ 10 to 49 acres",190
"19073","19","073","Iowa\Greene","Farms by size \ 10 to 49 acres",186
"19075","19","075","Iowa\Grundy","Farms by size \ 10 to 49 acres",151
"19077","19","077","Iowa\Guthrie","Farms by size \ 10 to 49 acres",209
"19079","19","079","Iowa\Hamilton","Farms by size \ 10 to 49 acres",203
"19081","19","081","Iowa\Hancock","Farms by size \ 10 to 49 acres",221
"19083","19","083","Iowa\Hardin","Farms by size \ 10 to 49 acres",180
"19091","19","091","Iowa\Humboldt","Farms by size \ 10 to 49 acres",108
"19099","19","099","Iowa\Jasper","Farms by size \ 10 to 49 acres",290
"19109","19","109","Iowa\Kossuth","Farms by size \ 10 to 49 acres",236
"19127","19","127","Iowa\Marshall","Farms by size \ 10 to 49 acres",242
"19131","19","131","Iowa\Mitchell","Farms by size \ 10 to 49 acres",187
"19147","19","147","Iowa\Palo Alto","Farms by size \ 10 to 49 acres",206
"19151","19","151","Iowa\Pocahontas","Farms by size \ 10 to 49 acres",129
"19153","19","153","Iowa\Polk","Farms by size \ 10 to 49 acres",275
"19161","19","161","Iowa\Sac","Farms by size \ 10 to 49 acres",198
"19169","19","169","Iowa\Story","Farms by size \ 10 to 49 acres",284
"19187","19","187","Iowa\Webster","Farms by size \ 10 to 49 acres",207
"19189","19","189","Iowa\Winnebago","Farms by size \ 10 to 49 acres",176
"19195","19","195","Iowa\Worth","Farms by size \ 10 to 49 acres",152
"19197","19","197","Iowa\Wright","Farms by size \ 10 to 49 acres",194
"19015","19","015","Iowa\Boone","Farms by size \ 50 to 179 acres",213
"19021","19","021","Iowa\Buena Vista","Farms by size \ 50 to 179 acres",153
"19023","19","023","Iowa\Butler","Farms by size \ 50 to 179 acres",258
"19025","19","025","Iowa\Calhoun","Farms by size \ 50 to 179 acres",163
"19027","19","027","Iowa\Carroll","Farms by size \ 50 to 179 acres",250
"19033","19","033","Iowa\Cerro Gordo","Farms by size \ 50 to 179 acres",156
"19041","19","041","Iowa\Clay","Farms by size \ 50 to 179 acres",141
"19049","19","049","Iowa\Dallas","Farms by size \ 50 to 179 acres",254
"19059","19","059","Iowa\Dickinson","Farms by size \ 50 to 179 acres",90
"19063","19","063","Iowa\Emmet","Farms by size \ 50 to 179 acres",93
"19067","19","067","Iowa\Floyd","Farms by size \ 50 to 179 acres",230
"19069","19","069","Iowa\Franklin","Farms by size \ 50 to 179 acres",209
"19073","19","073","Iowa\Greene","Farms by size \ 50 to 179 acres",138
"19075","19","075","Iowa\Grundy","Farms by size \ 50 to 179 acres",109
"19077","19","077","Iowa\Guthrie","Farms by size \ 50 to 179 acres",233
"19079","19","079","Iowa\Hamilton","Farms by size \ 50 to 179 acres",133
"19081","19","081","Iowa\Hancock","Farms by size \ 50 to 179 acres",179
"19083","19","083","Iowa\Hardin","Farms by size \ 50 to 179 acres",184
"19091","19","091","Iowa\Humboldt","Farms by size \ 50 to 179 acres",119
"19099","19","099","Iowa\Jasper","Farms by size \ 50 to 179 acres",251
"19109","19","109","Iowa\Kossuth","Farms by size \ 50 to 179 acres",246
"19127","19","127","Iowa\Marshall","Farms by size \ 50 to 179 acres",206
"19131","19","131","Iowa\Mitchell","Farms by size \ 50 to 179 acres",219
"19147","19","147","Iowa\Palo Alto","Farms by size \ 50 to 179 acres",185
"19151","19","151","Iowa\Pocahontas","Farms by size \ 50 to 179 acres",134
"19153","19","153","Iowa\Polk","Farms by size \ 50 to 179 acres",164
"19161","19","161","Iowa\Sac","Farms by size \ 50 to 179 acres",188
"19169","19","169","Iowa\Story","Farms by size \ 50 to 179 acres",201
"19187","19","187","Iowa\Webster","Farms by size \ 50 to 179 acres",207
"19189","19","189","Iowa\Winnebago","Farms by size \ 50 to 179 acres",138
"19195","19","195","Iowa\Worth","Farms by size \ 50 to 179 acres",134
"19197","19","197","Iowa\Wright","Farms by size \ 50 to 179 acres",132
"19015","19","015","Iowa\Boone","Farms by size \ 180 to 499 acres",138
"19021","19","021","Iowa\Buena Vista","Farms by size \ 180 to 499 acres",187
