Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,GRUNDY,75,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),156,26
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,GRUNDY,75,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),81,14.1
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,GRUNDY,75,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),116,12.7
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,GRUNDY,75,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),62,20.6
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,HAMILTON,79,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",57,22
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,HAMILTON,79,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),32,17.9
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,HAMILTON,79,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),102,26
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,HAMILTON,79,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),89,14.1
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,HAMILTON,79,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),85,12.7
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,HAMILTON,79,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),75,20.6
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,HARDIN,83,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",27,22
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,HARDIN,83,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),51,17.9
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,HARDIN,83,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),113,26
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,HARDIN,83,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),95,14.1
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,HARDIN,83,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),93,12.7
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,HARDIN,83,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),112,20.6
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,JASPER,99,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",18,22
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,JASPER,99,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),53,17.9
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,JASPER,99,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),160,26
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,JASPER,99,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),180,14.1
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,JASPER,99,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),112,12.7
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,JASPER,99,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),77,20.6
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,MARSHALL,127,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",25,22
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,MARSHALL,127,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),49,17.9
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,MARSHALL,127,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),132,26
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,MARSHALL,127,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),100,14.1
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,MARSHALL,127,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),120,12.7
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,MARSHALL,127,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),62,20.6
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,POLK,153,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",17,22
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,POLK,153,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),45,17.9
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,POLK,153,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),58,26
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,POLK,153,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),97,14.1
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,POLK,153,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),54,12.7
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,POLK,153,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),49,20.6
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,STORY,169,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",30,22
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,STORY,169,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),50,17.9
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,STORY,169,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),103,26
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,STORY,169,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),118,14.1
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,STORY,169,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),104,12.7
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,STORY,169,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),66,20.6
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,WEBSTER,187,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",52,22
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,WEBSTER,187,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),45,17.9
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,WEBSTER,187,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),145,26
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,WEBSTER,187,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),161,14.1
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,WEBSTER,187,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),119,12.7
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,WEBSTER,187,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),101,20.6
CENSUS,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,BUTLER,23,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",46,22
CENSUS,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,BUTLER,23,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),79,17.9
CENSUS,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,BUTLER,23,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),156,26
CENSUS,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,BUTLER,23,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),164,14.1
CENSUS,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,BUTLER,23,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),103,12.7
CENSUS,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,BUTLER,23,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),67,20.6
CENSUS,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,CERRO GORDO,33,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",38,22
CENSUS,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,CERRO GORDO,33,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),46,17.9
CENSUS,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,CERRO GORDO,33,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),102,26
CENSUS,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,CERRO GORDO,33,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),88,14.1
CENSUS,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,CERRO GORDO,33,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),94,12.7
CENSUS,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,CERRO GORDO,33,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),88,20.6
CENSUS,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,FLOYD,67,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",18,22
CENSUS,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,FLOYD,67,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),51,17.9
CENSUS,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,FLOYD,67,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),108,26
CENSUS,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,FLOYD,67,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),142,14.1
CENSUS,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,FLOYD,67,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),96,12.7
CENSUS,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,FLOYD,67,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),100,20.6
CENSUS,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,FRANKLIN,69,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",36,22
CENSUS,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,FRANKLIN,69,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),27,17.9
CENSUS,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,FRANKLIN,69,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),117,26
CENSUS,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,FRANKLIN,69,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),137,14.1
CENSUS,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,FRANKLIN,69,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),108,12.7
CENSUS,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,FRANKLIN,69,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),123,20.6
CENSUS,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,HANCOCK,81,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",32,22
CENSUS,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,HANCOCK,81,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),30,17.9
CENSUS,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,HANCOCK,81,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),135,26
CENSUS,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,HANCOCK,81,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),124,14.1
CENSUS,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,HANCOCK,81,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),145,12.7
CENSUS,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,HANCOCK,81,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),94,20.6
CENSUS,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,HUMBOLDT,91,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",26,22
CENSUS,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,HUMBOLDT,91,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),18,17.9
CENSUS,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,HUMBOLDT,91,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),100,26
CENSUS,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,HUMBOLDT,91,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),86,14.1
CENSUS,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,HUMBOLDT,91,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),75,12.7
CENSUS,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,HUMBOLDT,91,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),59,20.6
CENSUS,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,KOSSUTH,109,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",48,22
CENSUS,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,KOSSUTH,109,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),49,17.9
CENSUS,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,KOSSUTH,109,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),259,26
CENSUS,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,KOSSUTH,109,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),163,14.1
CENSUS,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,KOSSUTH,109,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),265,12.7
CENSUS,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,KOSSUTH,109,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),163,20.6
CENSUS,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,MITCHELL,131,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",14,22
CENSUS,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,MITCHELL,131,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),78,17.9
CENSUS,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,MITCHELL,131,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),159,26
CENSUS,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,MITCHELL,131,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),130,14.1
CENSUS,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,MITCHELL,131,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),112,12.7
CENSUS,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,MITCHELL,131,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),92,20.6
CENSUS,2012,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,WINNEBAGO,189,,,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",21,22
