Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Commodity,Data Item,Domain Category,Value
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,HAMILTON,79,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (250 TO 499 ACRES),100
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,HAMILTON,79,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (500 TO 999 ACRES),91
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,HARDIN,83,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)",41
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,HARDIN,83,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (1.0 TO 24.9 ACRES),51
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,HARDIN,83,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (100 TO 249 ACRES),154
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,HARDIN,83,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (25.0 TO 99.9 ACRES),110
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,HARDIN,83,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (250 TO 499 ACRES),133
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,HARDIN,83,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (500 TO 999 ACRES),91
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,JASPER,99,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)",29
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,JASPER,99,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (1.0 TO 24.9 ACRES),63
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,JASPER,99,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (100 TO 249 ACRES),175
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,JASPER,99,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (25.0 TO 99.9 ACRES),188
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,JASPER,99,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (250 TO 499 ACRES),148
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,JASPER,99,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (500 TO 999 ACRES),68
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,MARSHALL,127,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)",28
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,MARSHALL,127,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (1.0 TO 24.9 ACRES),51
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,MARSHALL,127,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (100 TO 249 ACRES),176
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,MARSHALL,127,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (25.0 TO 99.9 ACRES),104
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,MARSHALL,127,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (250 TO 499 ACRES),108
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,MARSHALL,127,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (500 TO 999 ACRES),70
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,POLK,153,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)",27
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,POLK,153,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (1.0 TO 24.9 ACRES),49
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,POLK,153,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (100 TO 249 ACRES),59
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,POLK,153,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (25.0 TO 99.9 ACRES),78
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,POLK,153,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (250 TO 499 ACRES),61
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,POLK,153,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (500 TO 999 ACRES),58
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,POWESHIEK,157,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)",20
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,POWESHIEK,157,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (1.0 TO 24.9 ACRES),40
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,POWESHIEK,157,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (100 TO 249 ACRES),143
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,POWESHIEK,157,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (25.0 TO 99.9 ACRES),130
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,POWESHIEK,157,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (250 TO 499 ACRES),94
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,POWESHIEK,157,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (500 TO 999 ACRES),52
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,STORY,169,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)",38
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,STORY,169,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (1.0 TO 24.9 ACRES),52
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,STORY,169,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (100 TO 249 ACRES),137
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,STORY,169,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (25.0 TO 99.9 ACRES),202
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,STORY,169,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (250 TO 499 ACRES),119
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,STORY,169,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (500 TO 999 ACRES),81
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,TAMA,171,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)",28
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,TAMA,171,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (1.0 TO 24.9 ACRES),65
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,TAMA,171,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (100 TO 249 ACRES),176
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,TAMA,171,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (25.0 TO 99.9 ACRES),174
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,TAMA,171,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (250 TO 499 ACRES),153
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,TAMA,171,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (500 TO 999 ACRES),83
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,WEBSTER,187,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)",27
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,WEBSTER,187,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (1.0 TO 24.9 ACRES),58
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,WEBSTER,187,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (100 TO 249 ACRES),181
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,WEBSTER,187,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (25.0 TO 99.9 ACRES),175
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,WEBSTER,187,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (250 TO 499 ACRES),134
CENSUS,2007,YEAR,,COUNTY,IOWA,19,CENTRAL,50,WEBSTER,187,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (500 TO 999 ACRES),152
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,BENTON,11,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)",23
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,BENTON,11,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (1.0 TO 24.9 ACRES),60
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,BENTON,11,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (100 TO 249 ACRES),213
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,BENTON,11,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (25.0 TO 99.9 ACRES),221
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,BENTON,11,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (250 TO 499 ACRES),155
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,BENTON,11,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (500 TO 999 ACRES),77
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,CEDAR,31,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)",27
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,CEDAR,31,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (1.0 TO 24.9 ACRES),39
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,CEDAR,31,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (100 TO 249 ACRES),191
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,CEDAR,31,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (25.0 TO 99.9 ACRES),129
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,CEDAR,31,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (250 TO 499 ACRES),126
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,CEDAR,31,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (500 TO 999 ACRES),81
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,CLINTON,45,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)",33
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,CLINTON,45,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (1.0 TO 24.9 ACRES),90
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,CLINTON,45,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (100 TO 249 ACRES),263
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,CLINTON,45,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (25.0 TO 99.9 ACRES),208
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,CLINTON,45,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (250 TO 499 ACRES),137
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,CLINTON,45,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (500 TO 999 ACRES),92
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,IOWA,95,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)",24
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,IOWA,95,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (1.0 TO 24.9 ACRES),58
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,IOWA,95,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (100 TO 249 ACRES),166
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,IOWA,95,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (25.0 TO 99.9 ACRES),177
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,IOWA,95,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (250 TO 499 ACRES),99
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,IOWA,95,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (500 TO 999 ACRES),36
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,JACKSON,97,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)",15
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,JACKSON,97,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (1.0 TO 24.9 ACRES),101
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,JACKSON,97,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (100 TO 249 ACRES),131
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,JACKSON,97,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (25.0 TO 99.9 ACRES),184
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,JACKSON,97,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (250 TO 499 ACRES),42
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,JACKSON,97,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (500 TO 999 ACRES),28
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,JOHNSON,103,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)",18
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,JOHNSON,103,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (1.0 TO 24.9 ACRES),109
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,JOHNSON,103,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (100 TO 249 ACRES),178
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,JOHNSON,103,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (25.0 TO 99.9 ACRES),213
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,JOHNSON,103,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (250 TO 499 ACRES),102
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,JOHNSON,103,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (500 TO 999 ACRES),51
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,JONES,105,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)",21
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,JONES,105,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (1.0 TO 24.9 ACRES),58
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,JONES,105,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (100 TO 249 ACRES),203
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,JONES,105,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (25.0 TO 99.9 ACRES),151
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,JONES,105,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (250 TO 499 ACRES),121
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,JONES,105,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (500 TO 999 ACRES),76
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,LINN,113,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)",15
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,LINN,113,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (1.0 TO 24.9 ACRES),126
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,LINN,113,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (100 TO 249 ACRES),189
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,LINN,113,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (25.0 TO 99.9 ACRES),259
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,LINN,113,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (250 TO 499 ACRES),168
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,LINN,113,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (500 TO 999 ACRES),55
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,MUSCATINE,139,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)",14
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,MUSCATINE,139,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (1.0 TO 24.9 ACRES),62
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,MUSCATINE,139,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (100 TO 249 ACRES),138
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,MUSCATINE,139,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (25.0 TO 99.9 ACRES),135
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,MUSCATINE,139,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (250 TO 499 ACRES),69
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,MUSCATINE,139,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (500 TO 999 ACRES),41
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,SCOTT,163,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED","AREA HARVESTED: (1,000 OR MORE ACRES)",22
CENSUS,2007,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,SCOTT,163,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED: (1.0 TO 24.9 ACRES),51
