Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,POWESHIEK,157,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,477,9.5
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,STORY,169,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"155,251",8.2
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,STORY,169,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",30,22
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,STORY,169,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),50,17.9
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,STORY,169,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),103,26
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,STORY,169,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),118,14.1
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,STORY,169,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),104,12.7
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,STORY,169,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),66,20.6
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,STORY,169,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,471,9.5
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,TAMA,171,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"172,126",8.2
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,TAMA,171,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",28,22
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,TAMA,171,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),48,17.9
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,TAMA,171,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),180,26
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,TAMA,171,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),178,14.1
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,TAMA,171,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),138,12.7
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,TAMA,171,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),67,20.6
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,TAMA,171,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,639,9.5
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,WEBSTER,187,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"226,658",8.2
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,WEBSTER,187,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",52,22
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,WEBSTER,187,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),45,17.9
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,WEBSTER,187,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),145,26
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,WEBSTER,187,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),161,14.1
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,WEBSTER,187,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),119,12.7
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,WEBSTER,187,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),101,20.6
CENSUS,2012,YEAR,,COUNTY,IOWA,19,CENTRAL,50,WEBSTER,187,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,623,9.5
CENSUS,2012,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,BENTON,11,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"196,881",8.2
CENSUS,2012,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,BENTON,11,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",21,22
CENSUS,2012,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,BENTON,11,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),74,17.9
CENSUS,2012,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,BENTON,11,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),198,26
CENSUS,2012,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,BENTON,11,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),171,14.1
CENSUS,2012,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,BENTON,11,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),163,12.7
CENSUS,2012,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,BENTON,11,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),106,20.6
CENSUS,2012,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,BENTON,11,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,733,9.5
CENSUS,2012,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,CEDAR,31,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"155,316",8.2
CENSUS,2012,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,CEDAR,31,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",29,22
CENSUS,2012,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,CEDAR,31,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),37,17.9
CENSUS,2012,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,CEDAR,31,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),148,26
CENSUS,2012,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,CEDAR,31,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),94,14.1
CENSUS,2012,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,CEDAR,31,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),106,12.7
CENSUS,2012,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,CEDAR,31,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),63,20.6
CENSUS,2012,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,CEDAR,31,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,477,9.5
CENSUS,2012,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,CLINTON,45,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"215,662",8.2
CENSUS,2012,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,CLINTON,45,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",23,22
CENSUS,2012,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,CLINTON,45,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),83,17.9
CENSUS,2012,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,CLINTON,45,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),204,26
CENSUS,2012,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,CLINTON,45,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),191,14.1
CENSUS,2012,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,CLINTON,45,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),179,12.7
CENSUS,2012,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,CLINTON,45,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),116,20.6
CENSUS,2012,YEAR,,COUNTY,IOWA,19,EAST CENTRAL,60,CLINTON,45,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,796,9.5
