Year,State,Ag District,County,Data Item,Domain,Domain Category,Value
2007,ILLINOIS,CENTRAL,MACON,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",48
2007,ILLINOIS,CENTRAL,MACON,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),57
2007,ILLINOIS,CENTRAL,MACON,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),76
2007,ILLINOIS,CENTRAL,MACON,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),71
2007,ILLINOIS,CENTRAL,MACON,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),78
2007,ILLINOIS,CENTRAL,MACON,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),84
2007,ILLINOIS,CENTRAL,MACON,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,414
2007,ILLINOIS,CENTRAL,MARSHALL,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,119110
2007,ILLINOIS,CENTRAL,MARSHALL,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",25
2007,ILLINOIS,CENTRAL,MARSHALL,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),29
2007,ILLINOIS,CENTRAL,MARSHALL,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),84
2007,ILLINOIS,CENTRAL,MARSHALL,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),79
2007,ILLINOIS,CENTRAL,MARSHALL,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),71
2007,ILLINOIS,CENTRAL,MARSHALL,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),34
2007,ILLINOIS,CENTRAL,MARSHALL,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,322
2007,ILLINOIS,CENTRAL,MASON,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,145936
2007,ILLINOIS,CENTRAL,MASON,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",38
2007,ILLINOIS,CENTRAL,MASON,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),13
2007,ILLINOIS,CENTRAL,MASON,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),52
2007,ILLINOIS,CENTRAL,MASON,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),43
2007,ILLINOIS,CENTRAL,MASON,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),43
2007,ILLINOIS,CENTRAL,MASON,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),77
2007,ILLINOIS,CENTRAL,MASON,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,266
2007,ILLINOIS,CENTRAL,MCLEAN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,392718
2007,ILLINOIS,CENTRAL,MCLEAN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",91
2007,ILLINOIS,CENTRAL,MCLEAN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),87
2007,ILLINOIS,CENTRAL,MCLEAN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),191
2007,ILLINOIS,CENTRAL,MCLEAN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),192
2007,ILLINOIS,CENTRAL,MCLEAN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),209
2007,ILLINOIS,CENTRAL,MCLEAN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),190
2007,ILLINOIS,CENTRAL,MCLEAN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,960
2007,ILLINOIS,CENTRAL,MENARD,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,81344
2007,ILLINOIS,CENTRAL,MENARD,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",18
2007,ILLINOIS,CENTRAL,MENARD,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),14
2007,ILLINOIS,CENTRAL,MENARD,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),37
2007,ILLINOIS,CENTRAL,MENARD,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),31
2007,ILLINOIS,CENTRAL,MENARD,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),33
2007,ILLINOIS,CENTRAL,MENARD,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),44
2007,ILLINOIS,CENTRAL,MENARD,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,177
2007,ILLINOIS,CENTRAL,PEORIA,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,128898
2007,ILLINOIS,CENTRAL,PEORIA,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",19
2007,ILLINOIS,CENTRAL,PEORIA,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),91
2007,ILLINOIS,CENTRAL,PEORIA,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),108
2007,ILLINOIS,CENTRAL,PEORIA,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),155
2007,ILLINOIS,CENTRAL,PEORIA,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),62
2007,ILLINOIS,CENTRAL,PEORIA,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),74
2007,ILLINOIS,CENTRAL,PEORIA,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,509
2007,ILLINOIS,CENTRAL,STARK,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,103829
2007,ILLINOIS,CENTRAL,STARK,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",28
2007,ILLINOIS,CENTRAL,STARK,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),17
2007,ILLINOIS,CENTRAL,STARK,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),44
2007,ILLINOIS,CENTRAL,STARK,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),63
2007,ILLINOIS,CENTRAL,STARK,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),48
2007,ILLINOIS,CENTRAL,STARK,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),49
2007,ILLINOIS,CENTRAL,STARK,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,249
2007,ILLINOIS,CENTRAL,TAZEWELL,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,178654
2007,ILLINOIS,CENTRAL,TAZEWELL,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",41
2007,ILLINOIS,CENTRAL,TAZEWELL,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),47
2007,ILLINOIS,CENTRAL,TAZEWELL,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),140
2007,ILLINOIS,CENTRAL,TAZEWELL,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),167
2007,ILLINOIS,CENTRAL,TAZEWELL,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),101
2007,ILLINOIS,CENTRAL,TAZEWELL,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),78
2007,ILLINOIS,CENTRAL,TAZEWELL,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,574
2007,ILLINOIS,CENTRAL,WOODFORD,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,161984
2007,ILLINOIS,CENTRAL,WOODFORD,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",26
2007,ILLINOIS,CENTRAL,WOODFORD,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),67
2007,ILLINOIS,CENTRAL,WOODFORD,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),142
2007,ILLINOIS,CENTRAL,WOODFORD,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),149
2007,ILLINOIS,CENTRAL,WOODFORD,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),122
2007,ILLINOIS,CENTRAL,WOODFORD,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),62
2007,ILLINOIS,CENTRAL,WOODFORD,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,568
2007,ILLINOIS,EAST,CHAMPAIGN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,310133
2007,ILLINOIS,EAST,CHAMPAIGN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",58
2007,ILLINOIS,EAST,CHAMPAIGN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),97
2007,ILLINOIS,EAST,CHAMPAIGN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),226
2007,ILLINOIS,EAST,CHAMPAIGN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),273
2007,ILLINOIS,EAST,CHAMPAIGN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),196
2007,ILLINOIS,EAST,CHAMPAIGN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),154
2007,ILLINOIS,EAST,CHAMPAIGN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,1004
2007,ILLINOIS,EAST,FORD,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,144098
2007,ILLINOIS,EAST,FORD,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",28
2007,ILLINOIS,EAST,FORD,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),12
2007,ILLINOIS,EAST,FORD,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),82
2007,ILLINOIS,EAST,FORD,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),80
2007,ILLINOIS,EAST,FORD,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),106
2007,ILLINOIS,EAST,FORD,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),58
2007,ILLINOIS,EAST,FORD,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,366
2007,ILLINOIS,EAST,IROQUOIS,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,392462
2007,ILLINOIS,EAST,IROQUOIS,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",101
2007,ILLINOIS,EAST,IROQUOIS,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),61
2007,ILLINOIS,EAST,IROQUOIS,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),257
2007,ILLINOIS,EAST,IROQUOIS,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),224
2007,ILLINOIS,EAST,IROQUOIS,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),214
2007,ILLINOIS,EAST,IROQUOIS,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),148
2007,ILLINOIS,EAST,IROQUOIS,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,1005
2007,ILLINOIS,EAST,KANKAKEE,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,229212
2007,ILLINOIS,EAST,KANKAKEE,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",62
2007,ILLINOIS,EAST,KANKAKEE,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),60
2007,ILLINOIS,EAST,KANKAKEE,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),128
2007,ILLINOIS,EAST,KANKAKEE,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),141
2007,ILLINOIS,EAST,KANKAKEE,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),87
2007,ILLINOIS,EAST,KANKAKEE,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),87
2007,ILLINOIS,EAST,KANKAKEE,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,565
2007,ILLINOIS,EAST,LIVINGSTON,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,330438
2007,ILLINOIS,EAST,LIVINGSTON,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",63
2007,ILLINOIS,EAST,LIVINGSTON,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),60
2007,ILLINOIS,EAST,LIVINGSTON,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),246
2007,ILLINOIS,EAST,LIVINGSTON,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),226
2007,ILLINOIS,EAST,LIVINGSTON,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),249
2007,ILLINOIS,EAST,LIVINGSTON,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),127
2007,ILLINOIS,EAST,LIVINGSTON,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,971
2007,ILLINOIS,EAST,PIATT,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,158639
2007,ILLINOIS,EAST,PIATT,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",47
2007,ILLINOIS,EAST,PIATT,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),34
2007,ILLINOIS,EAST,PIATT,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),65
2007,ILLINOIS,EAST,PIATT,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),82
2007,ILLINOIS,EAST,PIATT,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),55
2007,ILLINOIS,EAST,PIATT,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),62
2007,ILLINOIS,EAST,PIATT,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,345
2007,ILLINOIS,EAST,VERMILION,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,242106
2007,ILLINOIS,EAST,VERMILION,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",59
2007,ILLINOIS,EAST,VERMILION,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),76
2007,ILLINOIS,EAST,VERMILION,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),136
2007,ILLINOIS,EAST,VERMILION,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),104
2007,ILLINOIS,EAST,VERMILION,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),115
2007,ILLINOIS,EAST,VERMILION,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),106
2007,ILLINOIS,EAST,VERMILION,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,596
2007,ILLINOIS,EAST SOUTHEAST,CLARK,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,104067
2007,ILLINOIS,EAST SOUTHEAST,CLARK,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",27
2007,ILLINOIS,EAST SOUTHEAST,CLARK,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),47
2007,ILLINOIS,EAST SOUTHEAST,CLARK,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),52
2007,ILLINOIS,EAST SOUTHEAST,CLARK,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),69
2007,ILLINOIS,EAST SOUTHEAST,CLARK,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),57
2007,ILLINOIS,EAST SOUTHEAST,CLARK,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),44
2007,ILLINOIS,EAST SOUTHEAST,CLARK,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,296
2007,ILLINOIS,EAST SOUTHEAST,CLAY,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,71724
2007,ILLINOIS,EAST SOUTHEAST,CLAY,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",14
2007,ILLINOIS,EAST SOUTHEAST,CLAY,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),38
2007,ILLINOIS,EAST SOUTHEAST,CLAY,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),78
2007,ILLINOIS,EAST SOUTHEAST,CLAY,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),50
2007,ILLINOIS,EAST SOUTHEAST,CLAY,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),46
2007,ILLINOIS,EAST SOUTHEAST,CLAY,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),22
2007,ILLINOIS,EAST SOUTHEAST,CLAY,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,248
2007,ILLINOIS,EAST SOUTHEAST,COLES,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,127463
