Day,Month,Date,Sunrise,Sunset,Time,Hours
50,14-Oct,04 Sat,8:15:28,19:50:55,11:35:27,11.59
51,14-Oct,05 Sun,8:16:35,19:49:11,11:32:36,11.54
52,14-Oct,06 Mon,8:17:43,19:47:28,11:29:45,11.50
53,14-Oct,07 Tue,8:18:52,19:45:45,11:26:53,11.45
54,14-Oct,08 Wed,8:20:00,19:44:03,11:24:03,11.40
55,14-Oct,09 Thu,8:21:09,19:42:22,11:21:13,11.35
56,14-Oct,10 Fri,8:22:18,19:40:41,11:18:23,11.31
57,14-Oct,11 Sat,8:23:28,19:39:00,11:15:32,11.26
58,14-Oct,12 Sun,8:24:37,19:37:21,11:12:44,11.21
59,14-Oct,13 Mon,8:25:47,19:35:42,11:09:55,11.17
60,14-Oct,14 Tue,8:26:58,19:34:04,11:07:06,11.12
61,14-Oct,15 Wed,8:28:09,19:32:26,11:04:17,11.07
62,14-Oct,16 Thu,8:29:20,19:30:50,11:01:30,11.03
63,14-Oct,17 Fri,8:30:31,19:29:14,10:58:43,10.98
64,14-Oct,18 Sat,8:31:43,19:27:39,10:55:56,10.93
65,14-Oct,19 Sun,8:32:55,19:26:06,10:53:11,10.89
66,14-Oct,20 Mon,8:34:07,19:24:33,10:50:26,10.84
67,14-Oct,21 Tue,8:35:19,19:23:01,10:47:42,10.80
68,14-Oct,22 Wed,8:36:32,19:21:30,10:44:58,10.75
69,14-Oct,23 Thu,8:37:46,19:20:00,10:42:14,10.70
70,14-Oct,24 Fri,8:38:59,19:18:31,10:39:32,10.66
71,14-Oct,25 Sat,8:40:13,19:17:04,10:36:51,10.61
72,14-Oct,26 Sun,7:41:27,18:15:37,10:34:10,10.57
73,14-Oct,27 Mon,7:42:41,18:14:12,10:31:31,10.53
74,14-Oct,28 Tue,7:43:56,18:12:48,10:28:52,10.48
75,14-Oct,29 Wed,7:45:11,18:11:26,10:26:15,10.44
76,14-Oct,30 Thu,7:46:26,18:10:05,10:23:39,10.39
77,14-Oct,31 Fri,7:47:41,18:08:45,10:21:04,10.35
78,14-Nov,01 Sat,7:48:56,18:07:26,10:18:30,10.31
79,14-Nov,02 Sun,7:50:12,18:06:09,10:15:57,10.27
80,14-Nov,03 Mon,7:51:28,18:04:53,10:13:25,10.22
81,14-Nov,04 Tue,7:52:44,18:03:39,10:10:55,10.18
82,14-Nov,05 Wed,7:54:00,18:02:27,10:08:27,10.14
83,14-Nov,06 Thu,7:55:16,18:01:16,10:06:00,10.10
84,14-Nov,07 Fri,7:56:32,18:00:07,10:03:35,10.06
85,14-Nov,08 Sat,7:57:48,17:58:59,10:01:11,10.02
86,14-Nov,09 Sun,7:59:04,17:57:53,9:58:49,9.98
87,14-Nov,10 Mon,8:00:20,17:56:49,9:56:29,9.94
88,14-Nov,11 Tue,8:01:36,17:55:47,9:54:11,9.90
89,14-Nov,12 Wed,8:02:52,17:54:46,9:51:54,9.87
90,14-Nov,13 Thu,8:04:08,17:53:47,9:49:39,9.83
91,14-Nov,14 Fri,8:05:23,17:52:50,9:47:27,9.79
92,14-Nov,15 Sat,8:06:39,17:51:56,9:45:17,9.75
93,14-Nov,16 Sun,8:07:54,17:51:03,9:43:09,9.72
94,14-Nov,17 Mon,8:09:09,17:50:12,9:41:03,9.68
95,14-Nov,18 Tue,8:10:23,17:49:23,9:39:00,9.65
96,14-Nov,19 Wed,8:11:37,17:48:36,9:36:59,9.62
97,14-Nov,20 Thu,8:12:50,17:47:52,9:35:02,9.58
98,14-Nov,21 Fri,8:14:03,17:47:09,9:33:06,9.55
99,14-Nov,22 Sat,8:15:16,17:46:29,9:31:13,9.52
100,14-Nov,23 Sun,8:16:28,17:45:50,9:29:22,9.49
101,14-Nov,24 Mon,8:17:39,17:45:14,9:27:35,9.46
102,14-Nov,25 Tue,8:18:49,17:44:41,9:25:52,9.43
103,14-Nov,26 Wed,8:19:59,17:44:09,9:24:10,9.40
104,14-Nov,27 Thu,8:21:08,17:43:40,9:22:32,9.38
105,14-Nov,28 Fri,8:22:16,17:43:14,9:20:58,9.35
106,14-Nov,29 Sat,8:23:23,17:42:49,9:19:26,9.32
107,14-Nov,30 Sun,8:24:29,17:42:27,9:17:58,9.30
108,14-Dec,01 Mon,8:25:34,17:42:07,9:16:33,9.28
109,14-Dec,02 Tue,8:26:38,17:41:50,9:15:12,9.25
110,14-Dec,03 Wed,8:27:40,17:41:35,9:13:55,9.23
111,14-Dec,04 Thu,8:28:42,17:41:23,9:12:41,9.21
112,14-Dec,05 Fri,8:29:42,17:41:13,9:11:31,9.19
113,14-Dec,06 Sat,8:30:40,17:41:06,9:10:26,9.17
114,14-Dec,07 Sun,8:31:38,17:41:01,9:09:23,9.16
115,14-Dec,08 Mon,8:32:34,17:40:58,9:08:24,9.14
116,14-Dec,09 Tue,8:33:28,17:40:58,9:07:30,9.13
117,14-Dec,10 Wed,8:34:21,17:41:00,9:06:39,9.11
118,14-Dec,11 Thu,8:35:12,17:41:05,9:05:53,9.10
119,14-Dec,12 Fri,8:36:01,17:41:13,9:05:12,9.09
120,14-Dec,13 Sat,8:36:49,17:41:22,9:04:33,9.08
121,14-Dec,14 Sun,8:37:34,17:41:35,9:04:01,9.07
122,14-Dec,15 Mon,8:38:18,17:41:49,9:03:31,9.06
123,14-Dec,16 Tue,8:39:00,17:42:06,9:03:06,9.05
124,14-Dec,17 Wed,8:39:40,17:42:26,9:02:46,9.05
125,14-Dec,18 Thu,8:40:18,17:42:47,9:02:29,9.04
126,14-Dec,19 Fri,8:40:54,17:43:11,9:02:17,9.04
127,14-Dec,20 Sat,8:41:28,17:43:38,9:02:10,9.04
128,14-Dec,21 Sun,8:42:00,17:44:07,9:02:07,9.04
129,14-Dec,22 Mon,8:42:29,17:44:38,9:02:09,9.04
130,14-Dec,23 Tue,8:42:57,17:45:11,9:02:14,9.04
131,14-Dec,24 Wed,8:43:22,17:45:46,9:02:24,9.04
132,14-Dec,25 Thu,8:43:45,17:46:24,9:02:39,9.04
133,14-Dec,26 Fri,8:44:05,17:47:03,9:02:58,9.05
134,14-Dec,27 Sat,8:44:24,17:47:45,9:03:21,9.06
135,14-Dec,28 Sun,8:44:40,17:48:28,9:03:48,9.06
136,14-Dec,29 Mon,8:44:53,17:49:14,9:04:21,9.07
137,14-Dec,30 Tue,8:45:04,17:50:02,9:04:58,9.08
138,14-Dec,31 Wed,8:45:13,17:50:51,9:05:38,9.09
